Name,Category,File Path,Purpose,Key Dependencies,Confidence Level
LogAnalyzerError,Classes,beginner/B6-rust-cli/src/errors.rs,Rust enum (LogAnalyzerError),std,Confirmed
validation_exception_handler,Configuration classes,advanced/A3-polyglot-system/fastapi-service/app/main.py,App configuration/bootstrap (validation_exception_handler),fastapi,Confirmed
validation_exception_handler,Configuration classes,beginner/B4-fastapi-service/app/main.py,App configuration/bootstrap (validation_exception_handler),fastapi,Confirmed
createApp,Configuration classes,beginner/B5-nodejs-api-cli/src/app.js,Express application factory,express,Confirmed
startup,Configuration classes,devops/D2-docker-compose/api/app/main.py,App configuration/bootstrap (startup),fastapi,Confirmed
validation_exception_handler,Configuration classes,devops/D6-observability/service/app/main.py,App configuration/bootstrap (validation_exception_handler),fastapi,Confirmed
configure_logging,Configuration classes,devops/D6-observability/service/app/middleware/observability.py,App configuration/bootstrap (configure_logging),fastapi,Confirmed
validation_exception_handler,Configuration classes,intermediate/I4-fastapi-node-pair/fastapi-service/app/main.py,App configuration/bootstrap (validation_exception_handler),fastapi,Confirmed
isValidTransaction,Consumers / Listeners,advanced/A3-polyglot-system/node-worker/src/processor.js,Queue consumer (isValidTransaction),fs/child_process,Confirmed
processQueueOnce,Consumers / Listeners,advanced/A3-polyglot-system/node-worker/src/processor.js,Queue consumer (processQueueOnce),fs/child_process,Confirmed
health_check,Controllers,advanced/A3-polyglot-system/fastapi-service/app/main.py,HTTP route handler (health_check),fastapi,Confirmed
create_transaction,Controllers,advanced/A3-polyglot-system/fastapi-service/app/routes/transactions.py,HTTP route handler (create_transaction),fastapi,Confirmed
health_check,Controllers,beginner/B4-fastapi-service/app/main.py,HTTP route handler (health_check),fastapi,Confirmed
root,Controllers,beginner/B4-fastapi-service/app/main.py,HTTP route handler (root),fastapi,Confirmed
create_transaction,Controllers,beginner/B4-fastapi-service/app/routes/transactions.py,HTTP route handler (create_transaction),fastapi,Confirmed
get_balance,Controllers,beginner/B4-fastapi-service/app/routes/transactions.py,HTTP route handler (get_balance),fastapi,Confirmed
get_transaction,Controllers,beginner/B4-fastapi-service/app/routes/transactions.py,HTTP route handler (get_transaction),fastapi,Confirmed
get_transactions,Controllers,beginner/B4-fastapi-service/app/routes/transactions.py,HTTP route handler (get_transactions),fastapi,Confirmed
createTransaction,Controllers,beginner/B5-nodejs-api-cli/src/controllers/transactionController.js,Express controller (createTransaction),express,Confirmed
getBalance,Controllers,beginner/B5-nodejs-api-cli/src/controllers/transactionController.js,Express controller (getBalance),express,Confirmed
getTransactions,Controllers,beginner/B5-nodejs-api-cli/src/controllers/transactionController.js,Express controller (getTransactions),express,Confirmed
health_check,Controllers,devops/D2-docker-compose/api/app/main.py,HTTP route handler (health_check),fastapi,Confirmed
create_transaction,Controllers,devops/D2-docker-compose/api/app/routes.py,HTTP route handler (create_transaction),fastapi,Confirmed
get_transactions,Controllers,devops/D2-docker-compose/api/app/routes.py,HTTP route handler (get_transactions),fastapi,Confirmed
health_check,Controllers,devops/D6-observability/service/app/main.py,HTTP route handler (health_check),fastapi,Confirmed
metrics,Controllers,devops/D6-observability/service/app/main.py,HTTP route handler (metrics),fastapi,Confirmed
root,Controllers,devops/D6-observability/service/app/main.py,HTTP route handler (root),fastapi,Confirmed
create_transaction,Controllers,devops/D6-observability/service/app/routes/transactions.py,HTTP route handler (create_transaction),fastapi,Confirmed
get_balance,Controllers,devops/D6-observability/service/app/routes/transactions.py,HTTP route handler (get_balance),fastapi,Confirmed
get_transaction,Controllers,devops/D6-observability/service/app/routes/transactions.py,HTTP route handler (get_transaction),fastapi,Confirmed
